1414263375880,169	0	33	0

1414263375905,0

1414263375923,170	82	19	37

1414263375941,0

1414263375958,181	72	21	13

1414263375973,0

1414263375992,173	71	24	27

1414263376009,0

1414263376025,176	74	20	34

1414263376043,0

1414263376060,175	74	31	23

1414263376076,0

1414263376092,184	81	15	29

1414263376109,0

1414263376126,175	80	28	26

1414263376145,0

1414263376159,179	82	28	29

1414263376176,0

1414263376193,170	82	29	38

1414263376209,0

1414263376226,179	16	30	31

1414263376242,0

1414263376259,181	12	12	31

1414263376277,0

1414263376293,174	14	27	28

1414263376309,0

1414263376327,180	12	13	14

1414263376343,0

1414263376360,184	13	27	31

1414263376376,0

1414263376393,184	12	27	16

1414263376410,0

1414263376425,179	13	27	31

1414263376442,0

1414263376460,170	13	16	15

1414263376476,0

1414263376500,181	13	31	7

1414263376517,0

1414263376534,182	5	10	9

1414263376550,0

1414263376567,171	7	18	18

1414263376584,0

1414263376600,169	7	10	11

1414263376616,0

1414263376634,176	9	15	12

1414263376650,0

1414263376667,182	13	9	30

1414263376683,0

1414263376701,182	13	33	23

1414263376716,0

1414263376738,182	12	32	23

1414263377118,0

1414263377135,173	10	30	25

1414263377152,0

1414263377169,179	11	28	18

1414263377186,0

1414263377202,169	15	25	22

1414263377219,0

1414263377236,182	11	15	32

1414263377252,0

1414263377269,174	13	30	15

1414263377286,0

1414263377302,177	6	29	19

1414263377319,0

1414263377335,178	13	28	14

1414263377353,0

1414263377369,185	14	26	24

1414263377385,0

1414263377403,177	16	17	32

1414263377419,0

1414263377436,172	16	18	29

1414263377453,0

1414263377470,179	17	14	29

1414263377486,0

1414263377503,174	13	17	26

1414263377519,0

1414263377537,181	15	12	18

1414263377554,0

1414263377570,176	16	29	17

1414263377585,0

1414263377603,178	16	10	18

1414263377620,0

1414263377637,182	15	15	33

1414263377653,0

1414263377670,180	16	30	33

1414263377686,0

1414263377703,179	13	31	33

1414263377719,0

1414263377736,171	16	30	24

1414263377754,0

1414263377771,176	16	17	28

1414263377786,0

1414263377803,172	14	16	20

1414263377821,0

1414263377837,181	14	25	30

1414263377854,0

1414263377870,183	8	31	26

1414263377886,0

1414263377903,170	13	11	10

1414263377920,0

1414263377937,182	12	11	16

1414263377953,0

1414263377970,184	14	4	33

1414263377987,0

1414263378004,173	13	29	27

1414263378022,0

1414263378038,179	16	30	19

1414263378055,0

1414263378071,177	11	3	17

1414263378088,0

1414263378105,178	5	16	10

1414263378121,0

1414263378139,171	7	18	21

1414263378154,0

1414263378172,182	6	20	10

1414263378187,0

1414263378204,173	10	13	22

1414263378221,0

1414263378238,180	14	26	16

1414263378255,0

1414263378272,177	13	17	18

1414263378290,0

1414263378306,180	14	30	23

1414263378322,0

1414263378340,174	17	33	30

1414263378355,0

1414263378373,177	10	29	18

1414263378388,0

1414263378406,170	13	29	20

1414263378421,0

1414263378439,183	14	26	27

1414263378455,0

1414263378472,183	14	12	17

1414263378490,0

1414263378507,183	13	14	33

1414263378524,0

