1414749638726,8981,1023,1023,594,342
1414749638760,8987,1023,1023,595,310
1414749638778,8979,1023,1023,598,266
1414749638794,8979,1023,1023,601,288
1414749638810,8977,1023,1023,604,306
1414749638828,8936,1023,1023,604,311
1414749638844,8935,1023,1023,604,317
1414749638861,8940,1023,1023,605,364
1414749638877,8926,1023,1023,606,270
1414749638895,8897,1023,1023,611,326
1414749639028,8681,1023,1023,1023,397
1414749639413,8697,1023,1023,1023,475
1414749639630,8673,1023,1023,1023,476
1414749639930,8715,1023,1023,926,354
1414749640230,8743,1023,1023,841,334
1414749640547,8765,1023,1023,719,332
1414749640847,8747,1023,1023,705,350
1414749641148,8574,1023,1023,768,335
1414749641447,8573,1023,1023,979,335
1414749641764,8698,1023,1023,1023,394
1414749642063,8631,1023,1023,1023,476
1414749642364,8414,1023,1023,1023,381
1414749642664,8462,1023,1023,1023,418
1414749642964,8495,1023,1023,1023,428
1414749643280,8444,1023,1023,1023,346
1414749643581,8483,1023,1023,1023,394
1414749643881,8470,1023,1023,1023,399
1414749644187,8689,1023,1023,1023,398
1414749644486,8700,1023,1023,1023,336
1414749644786,8464,1023,1023,1023,396
1414749645103,8649,1023,1023,1023,412
1414749645406,8779,1023,1023,896,375
1414749645707,8743,1023,1023,1023,472
1414749646008,8894,320,1023,1023,475
1414749646307,8900,201,905,879,400
1414749646624,8978,173,751,663,273
1414749646919,9147,155,654,583,244
1414749647220,10273,141,587,531,265
1414749648188,-2,136,532,509,257
1414749649138,-2,137,486,490,247
1414749650099,-2,137,493,527,252
1414749651034,3532296,136,668,572,318
1414749651342,9679,138,734,624,276
1414749651642,9473,141,819,659,228
1414749651937,9208,142,870,675,302
1414749652254,9185,142,931,694,428
1414749652556,9385,144,958,715,408
1414749652856,9472,143,908,707,303
1414749653158,9561,142,874,699,253
1414749653458,9572,142,841,691,292
1414749653775,9572,140,824,680,295
1414749654078,9599,142,807,668,382
1414749654377,9585,142,827,675,393
1414749654677,9526,142,822,666,287
1414749654982,9243,138,797,656,294
1414749655282,9271,140,787,655,227
1414749655600,9272,140,751,650,196
1414749655903,9277,138,715,611,315
1414749656199,9282,139,695,603,363
1414749656497,9291,138,690,602,288
1414749656814,9282,136,690,602,290
1414749657117,9282,138,724,647,320
1414749657418,9237,140,748,655,323
1414749657727,9267,138,755,649,289
1414749658027,9167,151,710,662,295
1414749658328,9159,153,683,661,270
