1414749083541,8272,1023,1023,880,376
1414749083837,8576,1023,1023,1023,523
1414749084137,8634,1023,1023,1023,511
1414749084437,8681,1023,1023,1023,475
1414749084754,8648,1023,1023,1023,410
1414749085056,8275,1023,1023,1023,439
1414749085350,8381,1006,1023,920,401
1414749085666,8465,543,1023,369,232
1414749085967,8575,573,1023,444,261
1414749086268,8586,557,1021,450,291
1414749086567,8639,547,1023,458,219
1414749086867,8659,537,1023,462,217
1414749087184,8663,529,1023,467,295
1414749087485,8642,523,1023,471,210
1414749087786,8630,512,1023,471,285
1414749088088,8623,505,1023,470,251
1414749088389,8637,500,1023,471,210
1414749088690,8628,495,1023,470,176
1414749089007,8672,492,1023,469,312
1414749089309,8664,485,1023,465,309
1414749089602,8652,472,1023,451,299
1414749089920,8613,468,1023,447,328
1414749090221,8580,463,1023,443,224
1414749090522,8575,453,1023,438,221
1414749090823,8576,451,1023,437,233
1414749091134,8590,449,1023,435,172
1414749091433,8605,446,1023,433,203
1414749091733,8608,446,1023,434,183
1414749092034,8612,445,1023,436,293
1414749092334,8664,443,1023,435,257
1414749092651,8655,440,1023,434,279
1414749092952,8657,438,1023,434,229
1414749093252,8641,436,1023,434,256
1414749093553,8642,434,1023,432,309
1414749093854,8636,432,1023,431,294
1414749094170,8655,428,1023,427,289
1414749094472,8649,425,1023,425,326
1414749094772,8677,423,1023,423,221
1414749095075,8647,421,1023,424,208
1414749095388,8665,420,1023,424,232
1414749095689,8671,416,1023,421,247
1414749095988,8679,411,1023,418,193
1414749096288,8585,410,1023,420,244
1414749096588,8567,407,1023,417,251
1414749096900,8471,407,1023,417,186
1414749097200,8483,417,1023,428,184
1414749097500,8462,419,1023,430,253
1414749097817,8454,417,1023,427,229
1414749098120,8471,418,1023,431,282
1414749098420,8456,423,1023,435,244
1414749098719,8382,425,1023,438,196
1414749099021,8381,435,1023,456,271
1414749099321,8379,431,1023,455,305
1414749099638,8381,431,1023,458,310
1414749099940,8367,429,1023,455,226
1414749100240,8348,428,1023,454,233
1414749100541,8368,427,1023,454,186
1414749100841,8383,426,1023,453,255
1414749101157,8372,425,1023,452,203
1414749101446,8377,425,1023,451,295
1414749101762,8371,425,1023,451,256
1414749102065,8373,424,1023,450,271
1414749102370,8391,423,1023,448,227
1414749102671,8372,423,1023,448,238
1414749102972,8371,422,1023,447,260
1414749103271,8378,423,1023,448,287
1414749103572,8380,422,1023,448,251
1414749103888,8381,421,1023,448,199
1414749104188,8382,421,1023,446,270
1414749104488,8381,420,1023,447,278
1414749104789,8381,419,1023,446,217
1414749105106,8373,420,1023,447,280
1414749105405,8382,419,1023,448,233
1414749105705,8365,419,1023,449,148
1414749106006,8373,420,1023,450,333
1414749106323,8379,423,1023,453,300
1414749106622,8390,423,1023,454,257
1414749106923,8373,434,1023,470,238
1414749107222,8373,433,1023,472,266
1414749107522,8380,432,1023,471,297
1414749107838,8382,431,1023,473,201
1414749108139,8372,430,1023,473,185
1414749108438,8380,430,1023,476,268
1414749108739,8383,430,1023,476,332
1414749109039,8385,429,1023,475,313
1414749109356,8377,428,1023,476,262
1414749109656,8381,427,1023,477,281
1414749109956,8373,427,1023,478,271
1414749110256,8370,426,1023,478,277
1414749110556,8393,428,1023,483,251
1414749110872,8384,428,1023,483,266
1414749111173,8372,428,1023,485,292
1414749111472,8372,428,1023,489,345
1414749111773,8383,428,1023,490,319
1414749112090,8380,427,1023,491,270
1414749112389,8385,427,1023,490,232
1414749112689,8376,426,1023,493,253
1414749112989,8372,427,1023,496,313
1414749113306,8381,427,1023,497,274
1414749113606,8388,426,1023,497,220
1414749113906,8381,427,1023,499,184
1414749114207,8374,427,1023,498,217
1414749114506,8369,428,1023,499,302
1414749114822,8383,429,1023,501,288
1414749115122,8384,430,1023,502,289
1414749115423,8383,429,1023,502,238
1414749115722,8384,429,1023,502,199
1414749116040,8381,428,1023,502,204
1414749116340,8376,429,1023,502,300
1414749116639,8385,428,1023,501,263
1414749116939,8384,427,1023,500,328
1414749117240,8372,427,1023,500,353
1414749117556,8375,427,1023,500,271
1414749117856,8384,428,1023,502,325
1414749118157,8386,428,1023,502,327
1414749118456,8386,428,1023,503,257
1414749118773,8384,428,1023,503,264
1414749119073,8385,427,1023,503,235
1414749119374,8373,427,1023,502,235
1414749119673,8387,437,1023,518,259
1414749119973,8384,552,1023,792,285
1414749120290,8378,573,1023,895,418
1414749120590,8388,563,1023,979,385
1414749120890,8427,568,1023,869,310
1414749121189,8477,488,1023,641,289
1414749121506,8480,475,1023,617,251
1414749121807,8460,474,1023,618,311
1414749122107,8485,472,1023,616,280
1414749122407,8479,472,1023,615,290
1414749122706,8479,470,1023,613,359
1414749123022,8446,470,1023,614,316
1414749123322,8478,469,1023,612,214
1414749123623,8476,470,1023,614,281
1414749123924,8482,469,1023,613,279
1414749124239,8491,469,1023,612,254
1414749124540,8458,469,1023,612,283
1414749124840,8470,470,1023,614,314
1414749125139,8480,469,1023,613,221
1414749125440,8487,468,1023,612,289
1414749125756,8480,469,1023,611,330
1414749126057,8481,469,1023,611,363
1414749126357,8467,469,1023,611,384
1414749126657,8471,468,1023,610,349
1414749126973,8479,469,1023,611,246
1414749127273,8482,469,1023,610,336
1414749127579,8488,468,1023,608,389
1414749127880,8482,468,1023,607,356
1414749128179,8471,468,1023,607,306
1414749128479,8458,468,1023,607,239
1414749128779,8488,468,1023,607,334
1414749129096,8479,468,1023,607,246
1414749129395,8480,468,1023,607,266
1414749129696,8490,468,1023,607,292
1414749129995,8480,468,1023,607,269
1414749130313,8458,469,1023,608,282
1414749130612,8474,469,1023,608,286
1414749130913,8490,470,1023,610,290
1414749131212,8481,470,1023,608,280
