1414522265933,97,1013

1414522265979,96,1010

1414522265996,97,1013

1414522266013,99,1006

1414522266030,99,1019

1414522266046,99,1015

1414522266063,98,1013

1414522266079,97,1008

1414522266096,98,1019

1414522266113,98,1015

1414522266129,98,1009

1414522266329,98,1012

1414522266630,98,1012

1414522266929,99,1004

1414522267229,98,1004

1414522267547,97,1014

1414522267846,99,1016

1414522268146,99,1012

1414522268447,97,1011

1414522268746,98,1012

1414522269047,97,1014

1414522269347,98,1009

1414522269646,98,1009

1414522269963,96,1015

1414522270263,99,1014

1414522270563,98,1014

1414522270951,99,1012

1414522271168,98,1007

1414522271469,97,1012

1414522271768,99,1006

1414522272068,98,1013

1414522272369,97,1010

1414522272669,98,1013

1414522272984,98,1011

1414522273286,97,1007

1414522273585,5533,1012

1414522273885,7301,412

1414522274185,7239,399

1414522274502,7648,353

1414522274802,7776,342

1414522275101,7641,335

1414522275403,7673,319

1414522275703,7655,316

1414522276020,7994,313

1414522276321,8006,293

1414522276622,7955,315

1414522276923,7558,316

1414522277223,7489,311

1414522277524,7579,302

1414522277840,7522,310

1414522278142,7297,344

1414522278442,4883,1005

1414522278743,98,1010

1414522279039,3868,1010

1414522279355,7213,372

1414522279657,8021,316

1414522279956,8279,308

1414522280257,8862,285

1414522280557,9512,270

1414522280875,9880,261

1414522281178,10085,255

1414522281480,10088,258

1414522281779,9210,309

1414522282080,7677,370

1414522282382,9473,281

1414522282697,11168,221

1414522282999,12929,159

1414522283293,9479,335

1414522283611,5430,741

1414522283914,12205,215

1414522284214,12464,115

1414522284514,7381,494

1414522284810,8315,409

1414522285126,8330,386

1414522285428,8553,376

1414522285728,8655,365

1414522286029,8514,369

1414522286345,8497,372

1414522286647,8428,363

1414522286949,8549,362

1414522287249,8521,358

1414522287550,8457,362

1414522287849,8418,357

1414522288166,8414,355

1414522288466,8302,354

1414522288766,8174,360

1414522289080,8289,357

1414522289379,8252,355

1414522289680,8297,352

1414522289980,8264,356

1414522290279,8247,358

1414522290592,8252,358

1414522290893,8249,356

1414522291192,8223,354

1414522291493,8239,365

1414522291810,8236,352

1414522292113,8201,352

1414522292412,8211,345

1414522292715,8187,347

1414522293014,8239,346

1414522293314,8174,348

